trade_id,event,entry,type,side,score,stop,rr,risk_dist,atr,mtf_reason,status,quantity,signal,coin,open_time,result,exit_price,exit_reason,actual_rr,pnl_pct
ASR/USDT_SHORT_20260312232134,ENTRY,1.328,FVG,SHORT,7,1.3367142857142857,2.98,0.008714285714285674,0.004357142857142822,4h Neutral,TRADE,10837.7202,SHORT,ASR/USDT,2026-03-12T23:21:34.092054,OPEN,,,,
CVX/USDT_SHORT_20260312232232,ENTRY,2.0475,FVG,SHORT,8,2.074785714285714,6.47,0.027285714285714135,0.013642857142857068,4h Bear (str=0.82),TRADE,3461.2614,SHORT,CVX/USDT,2026-03-12T23:22:32.420072,OPEN,,,,
MANTA/USDT_SHORT_20260312232333,ENTRY,0.06933500000000001,FVG,SHORT,7,0.069985,11.7,0.0006499999999999978,0.0003249999999999989,4h Neutral,TRADE,147035.7461,SHORT,MANTA/USDT,2026-03-12T23:23:33.293138,OPEN,,,,
QTUM/USDT_SHORT_20260312232712,ENTRY,0.8805000000000001,FVG,SHORT,7,0.8852142857142857,7.11,0.004714285714285671,0.0023571428571428593,4h Neutral,TRADE,20273.1104,SHORT,QTUM/USDT,2026-03-12T23:27:12.301310,OPEN,,,,
ZEN/USDT_SHORT_20260312232806,ENTRY,5.492228571428571,SWING_PB,SHORT,7,5.539942857142857,8.37,0.04771428571428604,0.02385714285714283,4h Neutral,TRADE,2003.0319,SHORT,ZEN/USDT,2026-03-12T23:28:06.167234,OPEN,,,,
